dose,seed,epoch,train_loss,val_loss,val_ppl,embedding_rms_epoch_start,embedding_rms_epoch_end,embedding_grad_l2_mean,embedding_grad_l2_median,embedding_grad_l2_max,embedding_grad_rms_mean,embedding_grad_rms_median,embedding_grad_rms_max,embedding_relative_epoch_displacement
D_below,52,11,3.295854763551192,6.082997258504232,438.3410491902515,0.03546086315368346,0.03700907121092514,0.9922488702804985,0.9972991530336662,1.0882192969913558,0.00039121666630824063,0.00039320785505310635,0.00042905518800027064,0.19995874947260378
D_below,52,12,3.16780361016864,6.235613131523133,510.6135957820663,0.03700907121092514,0.03846607588281505,1.0233764972442694,1.0304736098225298,1.1400984755964705,0.0004034894406248397,0.0004062876385431668,0.00044950973313768696,0.1898436101609396
D_below,52,13,3.0530769555073864,6.379564102490743,589.6706156770068,0.03846607588281505,0.039837320835184716,1.053355567713539,1.0595965766615314,1.169168311311811,0.00041530937044213654,0.00041777003004897815,0.00046097117649057163,0.1813405749047767
D_below,52,14,2.949033733502056,6.527210148175557,683.4887168830276,0.039837320835184716,0.04113101635259294,1.07700121038236,1.0810124954914666,1.1791535810035623,0.00042463220241976024,0.0004262137427318726,0.00046490809598526584,0.173505917826817
D_below,52,15,2.85747101049276,6.683028054237366,798.7340639347894,0.04113101635259294,0.04236310581296029,1.1001868922718276,1.1048415102917304,1.2033359395669156,0.00043377368440735537,0.000435608873339513,0.00047444254040136406,0.1673727370388261
D_xavier,52,1,6.88034929255883,6.152638300259908,469.955636705085,0.0063003453490991755,0.012843668180119104,0.29061891228173553,0.31104821948738454,0.5955540811076706,0.0001145831105827787,0.0001226378292117065,0.00023481073065000963,1.7980915762526857
D_xavier,52,2,5.680468151131788,5.705916841824849,300.6409939654935,0.012843668180119104,0.017316899781207533,0.5350755041283852,0.5336567260714961,0.764070062770588,0.00021096567727926218,0.00021040629178810958,0.0003012519860048184,0.8124722435254635
D_xavier,52,3,5.122879679370704,5.51472225189209,248.3209969812831,0.017316899781207533,0.020775593529501805,0.6003972777998933,0.6013782098144326,0.7134983090915528,0.00023672027100924513,0.0002371070257479979,0.00028131292285619444,0.5225450498248138
D_xavier,52,4,4.733632530192772,5.435781645774841,229.47214412559748,0.020775593529501805,0.023718425861467298,0.6586430285802063,0.6612890412532443,0.7414260611272073,0.0002596849819092969,0.0002607282325371991,0.0002923240737641147,0.3982744590990437
D_xavier,52,5,4.431900195355685,5.433496562639872,228.9483798494755,0.023718425861467298,0.026320867579974573,0.7105264724576894,0.7137774566850185,0.7929295070996425,0.00028014120872727426,0.00028142298313864426,0.0003126304777724425,0.33470235794018505
D_xavier,52,6,4.176269453958214,5.476207009951273,238.93869433079837,0.026320867579974573,0.028667652390814046,0.7630249499880654,0.7654727480358806,0.8972852521464902,0.0003008399265397579,0.0003018050265471698,0.0003537751017777079,0.2945888321373112
D_xavier,52,7,3.952204898536512,5.572194290161133,263.0105880627515,0.028667652390814046,0.030795815255103394,0.8124852426943536,0.8164699350050214,0.9028963578871548,0.0003203407709415399,0.00032191182643853715,0.00035598740773029147,0.26552501302316894
D_xavier,52,8,3.7539127421011034,5.679997936884562,292.9488255346826,0.030795815255103394,0.03272765562383368,0.85676869083568,0.860692363044418,0.9356729563932844,0.000337800526727995,0.00033934752366310354,0.00036891032655091637,0.2422689429888234
D_xavier,52,9,3.5751107614199866,5.80134429136912,330.7438773363891,0.03272765562383368,0.034509313561979525,0.9015131287033582,0.9048289024865651,0.9899600460414318,0.0003554420381902161,0.00035674935735635605,0.00039031424533766295,0.22395951106025286
D_xavier,52,10,3.4151942623622626,5.9412829319636025,380.42267300728,0.034509313561979525,0.03615253659952255,0.938481047720656,0.9432041713175803,1.0357708166256208,0.00037001748037158316,0.0003718796791842945,0.0004083761827061496,0.2090733251543801
D_xavier,52,11,3.272333885343365,6.090545296669006,441.662182411015,0.03615253659952255,0.03768603425673216,0.9748916267132961,0.9793641172877526,1.151225022652743,0.0003843731785824834,0.0003861365596303644,0.00045389662716926814,0.19691593149963224
